Date,CO,NO,NO2,NOX,O3,PM10,PM25,SO2,
26/5/2017,0.3,12.25,16.25,30.25,36.25,8.25,9.25,5.25,15.5
27/5/2017,2,12.25,19.25,32.25,38.25,7.25,9.25,5.25,15.5
28/5/2017,3.2,11.25,15.25,27.25,39.25,8.25,13.25,5.25,14.5
29/5/2017,2.6,11.25,15.25,26.25,40.25,13.25,10.25,5.25,14.5
30/5/2017,2.3,10.25,14.25,24.25,37.25,12.25,9.25,5.25,13.5
31/5/2017,1.8,10.25,15.25,25.25,31.25,10.25,11.25,5.25,13.5
1/6/2017,0.6,10.25,15.25,27.25,32.25,8.25,8.25,5.25,13.5
2/6/2017,1.4,8.25,12.25,20.25,29.25,7.25,8.25,5.25,11.5
3/6/2017,2,8.25,11.25,18.25,29.25,8.25,10.25,5.25,11.5
4/6/2017,1.8,11.25,14.25,26.25,28.25,8.25,13.25,5.25,14.5
5/6/2017,1.9,15.25,16.25,33.25,25.25,8.25,11.25,5.25,18.5
6/6/2017,4.4,14.25,21.25,37.25,25.25,10.25,10.25,5.25,17.5
7/6/2017,3.8,5.25,16.25,18.25,26.25,11.25,11.25,6.25,8.5
8/6/2017,1.1,4.25,24.25,25.25,16.25,11.25,11.25,8.25,7.5
9/6/2017,3.8,4.25,15.25,14.25,27.25,7.25,11.25,5.25,7.5
10/6/2017,1.3,4.25,13.25,11.25,26.25,7.25,11.25,5.25,7.5
11/6/2017,0.9,13.25,29.25,43.25,6.25,8.25,8.25,12.25,16.5
12/6/2017,1.1,11.25,31.25,44.25,5.25,7.25,10.25,13.25,14.5
13/6/2017,0.5,6.25,26.25,30.25,6.25,7.25,11.25,7.25,9.5
14/6/2017,0.5,23.25,29.25,59.25,4.25,7.25,8.25,7.25,26.5
15/6/2017,1.5,42.25,35.25,94.25,4.25,7.25,9.25,9.25,45.5
16/6/2017,0.3,47.25,34.25,102.25,6.25,7.25,17.25,8.25,50.5
17/6/2017,4.9,39.25,30.25,86.25,10.25,12.25,13.25,7.25,42.5
18/6/2017,4.2,28.25,28.25,66.25,15.25,11.25,14.25,7.25,31.5
19/6/2017,4.8,35.25,31.25,80.25,18.25,8.25,14.25,9.25,38.5
20/6/2017,1.6,24.25,28.25,59.25,33.25,13.25,15.25,7.25,27.5
21/6/2017,0.8,24.25,34.25,66.25,37.25,13.25,22.25,7.25,27.5
22/6/2017,4.3,22.25,29.25,58.25,41.25,13.25,20.25,8.25,25.5
23/6/2017,1.4,17.25,29.25,51.25,47.25,24.25,28.25,7.25,20.5
24/6/2017,0.7,19.25,29.25,53.25,48.25,13.25,22.25,6.25,22.5
25/6/2017,2.1,17.25,31.25,53.25,46.25,16.25,19.25,6.25,20.5
26/6/2017,1.1,19.25,31.25,55.25,40.25,14.25,22.25,6.25,22.5
27/6/2017,2.2,31.25,52.25,96.25,29.25,22.25,20.25,7.25,34.5
28/6/2017,0.1,16.25,47.25,67.25,27.25,21.25,22.25,7.25,19.5
29/6/2017,2.6,21.25,57.25,85.25,17.25,23.25,32.25,10.25,24.5
30/6/2017,1.6,69.25,77.25,179.25,4.25,18.25,21.25,16.25,72.5
1/7/2017,4.6,30.25,59.25,101.25,8.25,20.25,30.25,11.25,33.5
2/7/2017,0.4,5.25,38.25,40.25,13.25,17.25,23.25,10.25,8.5
3/7/2017,2.8,26.25,46.25,81.25,4.25,14.25,17.25,12.25,29.5
4/7/2017,4.6,34.25,45.25,93.25,4.25,3.25,17.25,12.25,37.5
5/7/2017,0.7,35.25,44.25,93.25,4.25,3.25,15.25,10.25,38.5
6/7/2017,2.4,35.25,64.25,93.25,4.25,3.25,15.25,10.25,38.5
